Course ID,Dept Cd,Major Disproportionate Impact,URM Disproportionate Impact,First Gen Disproportionate Impact, Gender Disproportionate Impact,Transfer Disproportionate Impact,N,N Qtrs w/Enrollment,Count of DFW Grades,% DFW,Avg. End Waitlist Count/Qtr,Avg. N Students Affected/Offering,N Courses Blocked ,Max. Complexity,Impact Index 
ANSC150,ANTH,,,,,Y,25,3,6,24%,0,2,,,1
BIBC102,BIOL,,Y,Y,,Y,3237,9,192,6%,6,27,1.0,7.0,22
BICD100,COGS,,Y,Y,,Y,95,9,11,12%,11,12,,,7
BILD1,ECON,,Y,Y,,Y,254,9,41,16%,18,23,,,18
BIMM100,BIOL,,Y,Y,,Y,4345,9,362,8%,7,47,2.0,8.0,45
BIMM114,BIOL,,,,,Y,459,3,77,17%,1,27,,,9
BIPN100,BIOL,,Y,Y,,Y,4144,9,622,15%,11,80,0.0,3.0,30
CHEM40A,ANTH,,Y,Y,,Y,29,8,7,24%,12,13,,,13
CHEM40A,BIOL,,Y,Y,,Y,3455,9,350,10%,12,51,6.0,12.0,79
CHEM40A,CHEM,,Y,Y,,Y,430,9,50,12%,12,18,,,14
CHEM40B,BIOL,,Y,Y,,Y,3669,9,445,12%,9,58,4.0,10.0,74
CHEM43A,BIOL,,Y,Y,,Y,2946,9,132,4%,1,16,0.0,4.0,7
CHEM6A,ANTH,,Y,Y,,Y,85,8,8,9%,8,9,2.0,5.0,44
CHEM6A,PSYC,Y,Y,Y,,Y,709,9,120,17%,8,21,,,41
CHEM6A,SOC,Y,Y,Y,,Y,59,9,18,31%,8,10,,,40
CHEM6B,ESYS,,Y,Y,,Y,214,9,30,14%,9,12,7.0,12.0,34
CHEM6B,PSYC,,Y,Y,,Y,345,9,37,11%,9,13,,,19
CHEM7L,SPH,,Y,Y,,Y,205,9,20,10%,13,15,0.0,3.0,7
COGS14A,PSYC,,Y,Y,,Y,443,9,52,12%,8,14,,,2
COGS152,COGS,,,,,Y,67,3,24,36%,1,9,,,3
COGS18,PSYC,Y,Y,Y,,Y,1431,8,180,13%,24,47,,,7
CSE100,MATH,,,Y,,Y,780,8,80,10%,2,12,,,8
CSE11,COGS,Y,Y,Y,,Y,474,9,88,19%,36,46,,,30
CSE11,VIS,,Y,Y,,Y,109,9,19,17%,36,38,,,29
CSE12,ECE,,Y,Y,,Y,414,9,62,15%,2,9,11.0,17.0,33
CSE12,MATH,,Y,Y,,Y,1402,9,172,12%,2,21,1.0,4.0,25
CSE15L,MATH,,Y,,,Y,1376,9,112,8%,6,18,1.0,4.0,13
CSE21,ECE,,Y,Y,,Y,436,9,35,8%,1,5,4.0,10.0,8
CSE30,MATH,,Y,Y,Y,Y,1286,9,261,20%,1,30,0.0,3.0,30
CSE8A,PSYC,Y,Y,Y,,Y,663,9,174,26%,11,30,,,22
DSC10,ECON,,Y,Y,,Y,455,9,65,14%,11,18,,,20
DSC20,DSC,,Y,Y,,Y,860,9,117,14%,11,24,11.0,19.0,59
DSC20,ECON,,Y,Y,,Y,215,9,33,15%,11,15,,,10
DSC30,DSC,,,,,Y,822,9,106,13%,4,16,9.0,17.0,30
ECE101,ECE,,Y,,,Y,987,9,123,12%,0,14,0.0,5.0,8
ECE109,ECE,,Y,Y,,Y,1124,9,183,16%,0,20,0.0,5.0,13
ECE35,BENG,,Y,Y,,Y,89,9,27,30%,2,5,4.0,10.0,20
ECE35,ECE,Y,Y,Y,,Y,1122,9,313,28%,2,37,10.0,17.0,84
ECE35,MATH,,Y,Y,,Y,179,9,28,16%,2,5,,,15
ECE45,ECE,,Y,Y,,Y,874,9,156,18%,0,17,7.0,14.0,32
ECE65,ECE,,,,,Y,1043,9,114,11%,0,13,6.0,13.0,18
ECON100A,ECON,,Y,Y,,Y,2647,9,397,15%,21,65,2.0,8.0,63
ECON110A,ECON,,Y,Y,,Y,1264,9,196,16%,1,23,0.0,4.0,11
ECON110A,INTL,Y,Y,Y,,Y,74,9,23,31%,1,4,,,1
ECON110B,ECON,,,,,Y,2123,9,170,8%,15,34,0.0,4.0,15
ECON120A,ECON,,Y,Y,,Y,2514,9,324,13%,12,48,3.0,9.0,54
ECON120B,ECON,,Y,Y,,Y,2222,9,251,11%,8,36,1.0,7.0,30
ECON120B,INTL,,Y,Y,,Y,49,9,10,20%,8,9,,,3
ECON138,ECON,,,,,Y,518,4,73,14%,3,21,,,5
ECON2,INTL,Y,Y,Y,,Y,157,7,30,19%,3,7,0.0,2.0,3
ECON4,INTL,,Y,,,Y,548,8,73,13%,6,15,,,2
GLBH148,INTL,,,,,Y,28,8,5,18%,2,3,,,0
HINE118,INTL,,,,,Y,27,3,9,33%,0,3,,,1
HUM3,ECON,,Y,,,Y,160,3,17,11%,2,8,,,4
HUM3,PSYC,,Y,,,Y,189,3,18,10%,2,8,,,4
HUM4,PSYC,,,,,Y,150,3,22,15%,30,37,,,12
LIGN120,LING,,,,,Y,147,3,20,14%,1,8,0.0,2.0,5
LIGN121,LING,,,,,Y,165,4,31,19%,2,10,0.0,2.0,5
LIGN130,LING,,Y,Y,,Y,168,3,33,20%,0,11,0.0,2.0,8
MAE143B,MAE,,,,,Y,952,6,124,13%,2,23,3.0,11.0,42
MATH100A,MATH,,Y,,,Y,246,3,51,21%,0,17,,,7
MATH109,MATH,,Y,Y,,Y,2031,9,222,11%,6,31,2.0,8.0,31
MATH10B,ECON,,Y,Y,,Y,744,9,123,17%,2,16,,,22
MATH10B,INTL,Y,Y,Y,,Y,552,9,111,20%,2,14,1.0,4.0,27
MATH10B,PSYC,Y,Y,Y,,Y,1372,9,272,20%,2,32,1.0,4.0,35
MATH10C,INTL,Y,Y,Y,,Y,613,9,140,23%,2,18,0.0,3.0,12
MATH11,BIOL,,Y,Y,,Y,3357,9,302,9%,2,36,1.0,5.0,26
MATH154,MATH,,Y,,,Y,1554,9,111,7%,5,17,0.0,5.0,11
MATH158,MATH,,,,,Y,62,3,16,26%,0,5,,,2
MATH170A,MATH,,Y,,,Y,1263,9,185,15%,3,24,,,3
MATH171A,ECON,,,,,Y,79,3,9,11%,3,6,,,2
MATH18,COGS,Y,Y,Y,,Y,1326,9,262,20%,11,40,0.0,2.0,56
MATH18,MATH,,Y,Y,,Y,1386,9,133,10%,11,26,6.0,11.0,78
MATH180A,COGS,Y,Y,Y,,Y,635,9,107,17%,4,16,,,9
MATH180A,DSC,,Y,Y,,Y,185,9,17,9%,4,6,,,8
MATH180A,MATH,,Y,Y,,Y,1552,9,195,13%,4,26,4.0,10.0,36
MATH181B,MATH,,,,,Y,401,6,47,12%,0,8,0.0,6.0,8
MATH183,DSC,,Y,Y,,Y,419,9,29,7%,6,9,6.0,13.0,18
MATH20A,COGS,,Y,Y,,Y,249,9,36,14%,4,8,,,21
MATH20B,COGS,Y,Y,Y,,Y,552,9,108,20%,2,14,,,54
MATH20B,MATH,,Y,Y,,Y,865,9,129,15%,2,16,9.0,15.0,79
MATH20B,PSYC,,Y,Y,,Y,135,9,27,20%,2,5,,,53
MATH20C,BIOL,,Y,Y,,Y,427,9,56,13%,2,8,3.0,7.0,65
MATH20C,CHEM,,Y,Y,,Y,526,9,81,15%,2,11,7.0,13.0,74
MATH20C,COGS,Y,Y,Y,,Y,565,9,101,18%,2,13,,,60
MATH20C,ECON,,Y,Y,,Y,1107,9,164,15%,2,20,8.0,14.0,90
MATH20C,MATH,,Y,Y,,Y,1232,9,109,9%,2,14,8.0,14.0,80
MATH20C,SIO,,Y,Y,,Y,117,9,19,16%,2,4,6.0,11.0,63
MATH20D,ESYS,,Y,Y,,Y,45,9,7,16%,3,4,0.0,4.0,26
MATH20E,BENG,,Y,Y,,Y,374,9,32,9%,2,6,10.0,20.0,23
MGT103,INTL,Y,,,,Y,1103,9,117,11%,5,18,1.0,3.0,6
MGT106,PSYC,,,,,Y,106,7,19,18%,3,6,,,1
MGT131A,ECON,,Y,,,Y,303,9,108,36%,0,12,,,2
MGT153,INTL,Y,,,,Y,125,9,17,14%,7,9,,,1
PHIL10,PSYC,Y,Y,Y,Y,Y,544,9,162,30%,4,22,,,6
PHIL120,PHIL,Y,,,,Y,106,6,27,25%,1,6,0.0,2.0,2
PHYS1BL,SPH,,,,,Y,113,9,10,9%,1,2,,,0
PHYS2A,BIOL,,Y,Y,,Y,357,9,39,11%,10,14,2.0,5.0,37
PHYS2A,SIO,Y,Y,Y,,Y,100,9,24,24%,10,13,6.0,10.0,43
PHYS2B,BIOL,,Y,Y,,Y,288,9,24,8%,9,12,0.0,3.0,13
PHYS2B,CHEM,,Y,Y,,Y,331,9,45,14%,9,14,0.0,3.0,13
PHYS2C,BIOL,,Y,Y,,Y,298,9,16,5%,2,4,0.0,4.0,5
PSYC101,HDS,,Y,,,Y,88,9,10,11%,8,9,,,1
PSYC101,PSYC,,Y,,,Y,1988,9,187,9%,8,29,0.0,1.0,3
PSYC101,SOC,,Y,,,Y,25,9,6,24%,8,9,,,1
PSYC105,PSYC,,Y,,,Y,1753,7,149,8%,10,31,0.0,1.0,5
PSYC106,PSYC,Y,Y,Y,,Y,1109,6,218,20%,3,39,,,7
PSYC125,PSYC,,,Y,,Y,431,5,78,18%,9,25,,,6
PSYC162,PSYC,,Y,,,Y,769,4,87,11%,1,23,,,6
PSYC178,PSYC,,,,,Y,615,6,59,10%,11,21,,,3
